symbol,interval,open_time,open,high,low,close,volume,close_time,is_closed
BTCUSDT,1m,2025-04-11 17:56:00,81956.53000000,81984.00000000,81903.26000000,81968.00000000,17.97764000,2025-04-11 17:56:59.999000,False
BTCUSDT,1m,2025-04-11 17:56:00,81956.53000000,81999.93000000,81903.26000000,81999.93000000,20.94130000,2025-04-11 17:56:59.999000,False
BTCUSDT,1m,2025-04-11 17:56:00,81956.53000000,82011.91000000,81903.26000000,82011.91000000,24.25129000,2025-04-11 17:56:59.999000,False
BTCUSDT,1m,2025-04-11 17:56:00,81956.53000000,82028.00000000,81903.26000000,82028.00000000,24.51884000,2025-04-11 17:56:59.999000,False
BTCUSDT,1m,2025-04-11 17:56:00,81956.53000000,82028.58000000,81903.26000000,82028.58000000,24.59455000,2025-04-11 17:56:59.999000,True
BTCUSDT,1m,2025-04-11 17:57:00,82028.58000000,82028.58000000,82028.58000000,82028.58000000,0.00000000,2025-04-11 17:57:59.999000,False
