symbol,interval,open_time,open,high,low,close,volume,close_time,is_closed
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1654.27000000,1654.41000000,39.26520000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1653.78000000,1654.01000000,52.80130000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1653.78000000,1653.78000000,69.34330000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1653.51000000,1653.54000000,76.37230000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1653.02000000,1654.12000000,122.70360000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1653.02000000,1654.53000000,125.90780000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1653.02000000,1654.00000000,134.65370000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1653.02000000,1653.54000000,141.49900000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1653.02000000,1653.26000000,146.69230000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.54000000,1652.78000000,178.38070000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.54000000,1653.17000000,194.45100000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.54000000,1653.17000000,203.45810000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.54000000,1653.05000000,212.05210000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.40000000,1652.40000000,229.18080000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.35000000,1652.43000000,236.73720000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.35000000,1652.39000000,237.80430000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.29000000,1652.29000000,256.64130000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.26000000,1652.42000000,268.99240000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.19000000,1652.20000000,273.78680000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.19000000,1652.52000000,357.51710000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.19000000,1652.78000000,359.48910000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.19000000,1652.34000000,388.33960000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.19000000,1652.42000000,393.42800000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.19000000,1652.52000000,394.12900000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1652.19000000,1652.40000000,394.90670000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1651.64000000,1652.17000000,446.32900000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1651.64000000,1651.90000000,499.68270000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1651.64000000,1651.97000000,521.32900000,2025-04-14 18:27:59.999000,False
ETHUSDT,1m,2025-04-14 18:27:00,1654.40000000,1654.96000000,1651.64000000,1651.98000000,529.24570000,2025-04-14 18:27:59.999000,True
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1651.98000000,1651.98000000,1651.98000000,0.00000000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1651.98000000,1651.97000000,1651.97000000,11.30030000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1651.98000000,1651.41000000,1651.88000000,122.89720000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1652.02000000,1651.41000000,1651.99000000,143.91950000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1652.39000000,1651.41000000,1652.39000000,151.97050000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1652.41000000,1651.41000000,1652.40000000,155.83240000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1652.41000000,1651.41000000,1651.80000000,163.12170000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1652.41000000,1651.32000000,1651.61000000,238.37580000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1652.41000000,1651.32000000,1651.99000000,242.71780000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1652.41000000,1651.32000000,1651.60000000,287.21030000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1652.41000000,1651.32000000,1652.22000000,326.27560000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1652.66000000,1651.32000000,1652.65000000,339.95150000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1652.85000000,1651.32000000,1652.85000000,340.85430000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1652.92000000,1651.32000000,1652.92000000,374.09790000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1652.92000000,1651.32000000,1652.91000000,374.17090000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1653.25000000,380.57340000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1653.12000000,395.17200000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1652.92000000,429.15430000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1652.91000000,431.22720000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1652.92000000,431.65280000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1652.75000000,436.23550000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1652.65000000,440.83990000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1652.46000000,441.97260000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1652.01000000,446.19000000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1651.86000000,450.76440000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1651.87000000,450.87480000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1651.86000000,455.17310000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1651.87000000,455.25250000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1652.51000000,492.21950000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1652.17000000,509.51110000,2025-04-14 18:28:59.999000,False
ETHUSDT,1m,2025-04-14 18:28:00,1651.98000000,1653.25000000,1651.32000000,1652.27000000,511.44040000,2025-04-14 18:28:59.999000,True
ETHUSDT,1m,2025-04-14 18:29:00,1652.27000000,1652.27000000,1652.27000000,1652.27000000,0.00000000,2025-04-14 18:29:59.999000,False
ETHUSDT,1m,2025-04-14 18:29:00,1652.27000000,1652.27000000,1651.84000000,1652.00000000,12.33620000,2025-04-14 18:29:59.999000,False
ETHUSDT,1m,2025-04-14 18:29:00,1652.27000000,1652.27000000,1651.84000000,1651.96000000,17.53530000,2025-04-14 18:29:59.999000,False
ETHUSDT,1m,2025-04-14 18:29:00,1652.27000000,1652.40000000,1651.64000000,1652.40000000,25.53240000,2025-04-14 18:29:59.999000,False
ETHUSDT,1m,2025-04-14 18:29:00,1652.27000000,1652.40000000,1651.64000000,1652.39000000,50.95030000,2025-04-14 18:29:59.999000,False
ETHUSDT,1m,2025-04-14 18:29:00,1652.27000000,1652.63000000,1651.64000000,1652.38000000,292.40900000,2025-04-14 18:29:59.999000,False
ETHUSDT,1m,2025-04-14 18:31:00,1651.81000000,1654.96000000,1650.10000000,1654.44000000,470.47550000,2025-04-14 18:31:59.999000,False
ETHUSDT,1m,2025-04-14 18:31:00,1651.81000000,1654.96000000,1650.10000000,1654.34000000,472.67110000,2025-04-14 18:31:59.999000,False
ETHUSDT,1m,2025-04-14 18:31:00,1651.81000000,1654.96000000,1650.10000000,1653.97000000,478.85560000,2025-04-14 18:31:59.999000,False
ETHUSDT,1m,2025-04-14 18:31:00,1651.81000000,1654.96000000,1650.10000000,1653.91000000,481.02790000,2025-04-14 18:31:59.999000,False
ETHUSDT,1m,2025-04-14 18:31:00,1651.81000000,1654.96000000,1650.10000000,1653.32000000,495.45340000,2025-04-14 18:31:59.999000,True
ETHUSDT,1m,2025-04-14 18:32:00,1653.32000000,1653.32000000,1653.32000000,1653.32000000,0.00000000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1653.31000000,1653.13000000,1653.19000000,9.22780000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1653.13000000,1654.10000000,26.45130000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1653.06000000,1653.07000000,35.43380000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1653.06000000,1653.38000000,44.02640000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1653.06000000,1653.60000000,48.96200000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1653.06000000,1653.83000000,58.33260000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1653.06000000,1653.68000000,68.16780000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1653.06000000,1653.83000000,143.80280000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1653.06000000,1653.83000000,144.50990000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1653.06000000,1653.82000000,151.70270000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1653.06000000,1653.44000000,165.02970000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1652.97000000,1652.97000000,186.62270000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1652.93000000,1652.93000000,190.48090000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1652.84000000,1653.18000000,199.89780000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1652.84000000,1653.44000000,237.80660000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1652.84000000,1653.62000000,246.24000000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1652.84000000,1653.27000000,252.33650000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1652.84000000,1653.27000000,252.88890000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1654.11000000,1652.84000000,1653.41000000,277.51380000,2025-04-14 18:32:59.999000,False
ETHUSDT,1m,2025-04-14 18:32:00,1653.31000000,1655.14000000,1652.84000000,1655.14000000,706.16760000,2025-04-14 18:32:59.999000,False
